iter	Passed	Remaining
418	2608	59654
419	2616	59689
420	2621	59636
421	2627	59644
422	2633	59628
423	2640	59630
424	2643	59567
425	2647	59508
426	2654	59505
427	2661	59525
428	2668	59524
429	2673	59509
430	2680	59507
431	2688	59550
432	2696	59580
433	2704	59619
434	2708	59564
435	2714	59550
436	2718	59495
437	2725	59495
438	2730	59468
439	2737	59471
440	2741	59416
441	2745	59359
442	2749	59309
443	2754	59284
444	2756	59186
445	2760	59124
446	2763	59067
447	2767	59004
448	2775	59040
449	2784	59088
450	2791	59113
451	2800	59155
452	2804	59114
453	2813	59167
454	2816	59086
455	2824	59114
456	2831	59122
457	2841	59206
458	2851	59280
459	2858	59278
460	2865	59290
461	2872	59298
462	2880	59325
463	2891	59420
464	2903	59532
465	2912	59582
466	2924	59691
467	2930	59695
468	2941	59769
469	2949	59808
470	2960	59904
471	2979	60145
472	2992	60268
473	3003	60368
474	3015	60468
475	3022	60474
476	3030	60498
477	3038	60524
478	3047	60566
479	3056	60624
480	3065	60666
481	3074	60714
482	3083	60747
483	3089	60752
484	3096	60739
485	3102	60729
486	3109	60742
487	3118	60790
488	3126	60801
489	3132	60792
490	3137	60757
491	3144	60768
492	3151	60764
493	3157	60750
494	3159	60671
495	3165	60661
496	3172	60663
497	3176	60615
498	3180	60561
499	3186	60551
500	3194	60569
501	3202	60597
502	3206	60532
503	3210	60494
504	3217	60495
505	3223	60481
506	3229	60464
507	3237	60498
508	3246	60527
509	3254	60557
510	3262	60588
511	3266	60533
512	3273	60530
513	3278	60505
514	3285	60505
515	3288	60449
516	3293	60413
517	3297	60367
518	3302	60330
519	3306	60281
520	3310	60229
521	3316	60211
522	3319	60153
523	3323	60104
524	3327	60051
525	3331	60007
526	3336	59966
527	3339	59915
528	3344	59869
529	3347	59819
530	3351	59768
531	3355	59710
532	3359	59662
533	3362	59610
534	3366	59566
535	3370	59518
536	3378	59537
537	3386	59559
538	3391	59528
539	3399	59546
540	3407	59577
541	3413	59561
542	3418	59537
543	3422	59491
544	3431	59532
545	3437	59525
546	3444	59519
547	3450	59507
548	3454	59466
549	3458	59414
550	3461	59365
551	3465	59319
552	3469	59271
553	3471	59196
554	3476	59164
555	3480	59120
556	3484	59078
557	3488	59024
558	3492	58988
559	3495	58920
560	3499	58876
561	3503	58828
562	3507	58786
563	3511	58745
564	3514	58683
565	3517	58628
566	3521	58593
567	3526	58552
568	3530	58512
569	3534	58476
570	3538	58427
571	3542	58386
572	3546	58345
573	3550	58301
574	3553	58254
575	3558	58212
576	3561	58164
577	3567	58149
578	3575	58172
579	3584	58218
580	3591	58229
581	3595	58190
582	3602	58184
583	3608	58180
584	3616	58203
585	3624	58226
586	3631	58226
587	3637	58222
588	3645	58244
589	3652	58258
590	3660	58270
591	3667	58288
592	3672	58258
593	3677	58227
594	3681	58189
595	3685	58156
596	3695	58202
597	3706	58268
598	3717	58338
599	3724	58351
600	3732	58379
601	3740	58397
602	3748	58423
603	3755	58416
604	3767	58501
605	3775	58524
606	3786	58587
607	3799	58684
608	3809	58737
609	3818	58782
610	3826	58807
611	3833	58805
612	3840	58810
613	3846	58804
614	3852	58792
615	3856	58748
616	3863	58752
617	3873	58799
618	3881	58825
619	3892	58891
620	3903	58949
621	3913	59002
622	3923	59047
623	3929	59049
624	3938	59082
625	3948	59126
626	3952	59085
627	3958	59070
628	3967	59106
629	3976	59146
630	3986	59184
631	3994	59211
632	3998	59175
633	4004	59163
634	4014	59208
635	4029	59322
636	4044	59448
637	4057	59544
638	4071	59642
639	4078	59651
640	4088	59701
641	4098	59739
642	4108	59782
643	4118	59830
644	4127	59865
645	4136	59889
646	4145	59923
647	4154	59959
648	4158	59914
649	4169	59974
650	4179	60023
651	4191	60093
652	4201	60144
653	4217	60268
654	4235	60428
655	4246	60481
656	4257	60545
657	4267	60594
658	4278	60646
659	4288	60689
660	4296	60704
661	4307	60754
662	4322	60875
663	4337	60992
664	4356	61148
665	4372	61276
666	4384	61350
